sport,season,season_id,player_id,first_name,last_name,full_name,G,MIN,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,AU_PTS,eFG%,shootingFoulsCommitted,shootingFoulsDrawn,personalFoulsCommitted,personalFoulsDrawn,offensiveFoulsCommitted,offensiveFoulsDrawn,doubleDoubles,tripleDoubles
basketball,2023,73,257,Kelsey,Mitchell,Kelsey Mitchell,15,544,106,227,0.467,48,111,0.432,58,116,0.5,57,62,0.919,8,35,43,56,16,0,25,317,5386,0.5726872246696035,18,25,12,15,3,3,0,0
basketball,2023,73,556,Kristi,Bellock,Kristi Bellock,13,259,33,69,0.478,7,14,0.5,26,55,0.473,4,4,1.0,15,25,40,10,13,2,13,77,2763,0.5289855072463768,12,2,5,1,3,0,0,0
basketball,2023,73,557,Jordin,Canada,Jordin Canada,14,502,74,158,0.468,4,14,0.286,70,144,0.486,53,64,0.828,14,51,65,78,28,4,40,205,5047,0.4810126582278481,18,28,12,23,1,3,0,0
basketball,2023,73,558,Layshia,Clarendon,Layshia Clarendon,15,362,58,118,0.492,8,20,0.4,50,98,0.51,39,44,0.886,8,39,47,66,16,0,26,163,4816,0.5254237288135594,5,18,18,21,1,5,0,0
basketball,2023,73,559,Allisha,Gray,Allisha Gray,15,528,99,214,0.463,26,71,0.366,73,143,0.51,67,73,0.918,25,54,79,51,25,14,36,291,5748,0.5233644859813084,17,29,10,19,2,4,2,0
basketball,2023,73,560,Naz,Hillmon,Naz Hillmon,15,508,100,202,0.495,4,17,0.235,96,185,0.519,65,79,0.823,50,103,153,33,16,7,25,269,6660,0.504950495049505,16,37,7,24,4,2,8,0
basketball,2023,73,561,N'dea,Jones,N'dea Jones,14,190,27,44,0.614,0,1,0.0,27,43,0.628,20,31,0.645,19,42,61,9,6,11,11,74,3132,0.6136363636363636,15,13,6,7,3,1,1,0
basketball,2023,73,562,Whitney,Knight,Whitney Knight,6,32,1,9,0.111,0,4,0.0,1,5,0.2,2,2,1.0,6,6,12,0,1,1,3,4,2362,0.1111111111111111,2,1,2,0,0,0,0,0
basketball,2023,73,563,Karisma,Penn,Karisma Penn,7,81,8,24,0.333,0,0,,8,24,0.333,1,2,0.5,11,13,24,4,5,3,7,17,2425,0.3333333333333333,5,1,7,2,1,0,0,0
basketball,2023,73,564,NaLyssa,Smith,NaLyssa Smith,14,497,114,240,0.475,9,38,0.237,105,202,0.52,76,101,0.752,50,121,171,27,7,10,35,313,5948,0.49375,27,51,11,27,5,2,11,0
basketball,2023,73,565,Evina,Westbrook,Evina Westbrook,15,468,48,121,0.397,16,50,0.32,32,71,0.451,17,23,0.739,14,48,62,31,11,12,20,129,4143,0.4628099173553719,18,11,16,4,1,1,0,0
basketball,2023,73,566,Lexie,Hull,Lexie Hull,14,469,57,137,0.416,21,66,0.318,36,71,0.507,37,41,0.902,30,56,86,31,26,11,18,172,4882,0.4927007299270073,26,19,18,5,0,4,1,0
basketball,2023,73,567,Suriya,McGuire,Suriya McGuire,7,33,2,6,0.333,0,2,0.0,2,4,0.5,1,2,0.5,0,3,3,1,1,2,5,5,1819,0.3333333333333333,4,1,1,0,0,0,0,0
basketball,2023,73,568,Caliya,Robinson,Caliya Robinson,14,64,10,29,0.345,1,4,0.25,9,25,0.36,0,1,0.0,5,10,15,2,1,4,4,21,3270,0.3620689655172414,9,0,4,0,1,0,0,0
basketball,2023,73,569,Crystal,Bradford,Crystal Bradford,14,371,88,189,0.466,13,49,0.265,75,140,0.536,22,43,0.512,50,90,140,30,23,13,17,211,4998,0.5,26,20,11,19,0,1,7,0
basketball,2023,73,570,G'mrice,Davis,G'mrice Davis,15,279,50,96,0.521,0,0,,50,96,0.521,15,20,0.75,25,58,83,5,11,8,22,115,3538,0.5208333333333334,21,9,15,5,6,2,0,0
basketball,2023,73,572,Jenna,Staiti,Jenna Staiti,8,51,8,21,0.381,0,1,0.0,8,20,0.4,2,2,1.0,7,11,18,6,1,2,5,18,2443,0.38095238095238093,8,0,0,2,1,0,0,0
basketball,2023,73,589,Veronica,Burton,Veronica Burton,15,235,19,56,0.339,6,31,0.194,13,25,0.52,23,27,0.852,15,26,41,27,14,3,14,67,3546,0.39285714285714285,6,14,9,6,3,6,0,0
basketball,2023,73,622,Theresa,Plaisance,Theresa Plaisance,15,383,61,142,0.43,35,79,0.443,26,63,0.413,10,16,0.625,13,67,80,27,17,22,19,167,4777,0.5528169014084507,14,8,11,6,2,2,0,0
basketball,2023,73,623,Jasmine,Walker,Jasmine Walker,15,418,68,151,0.45,30,73,0.411,38,78,0.487,23,25,0.92,14,68,82,15,12,10,22,189,4234,0.5496688741721855,24,8,6,10,3,0,0,0
basketball,2023,73,624,Kierstan,Bell,Kierstan Bell,14,460,86,172,0.5,29,87,0.333,57,85,0.671,13,15,0.867,14,76,90,43,9,6,19,214,4803,0.5843023255813954,19,5,10,3,1,1,3,0
basketball,2023,73,625,Lydia,Rivers,Lydia Rivers,13,167,15,36,0.417,0,1,0.0,15,35,0.429,5,12,0.417,31,20,51,7,5,4,6,35,3163,0.4166666666666667,12,6,11,2,0,2,1,0
basketball,2023,73,626,Hope,Elam,Hope Elam,3,6,0,3,0.0,0,3,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,2418,0.0,1,0,1,1,0,0,0,0
basketball,2023,73,627,Mya,Hollingshed,Mya Hollingshed,12,82,11,27,0.407,4,9,0.444,7,18,0.389,0,0,,6,7,13,0,3,2,3,26,1985,0.48148148148148145,7,0,1,0,1,0,0,0
