sport,season,season_id,player_id,first_name,last_name,full_name,G,MIN,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,AU_PTS,eFG%,shootingFoulsCommitted,shootingFoulsDrawn,personalFoulsCommitted,personalFoulsDrawn,offensiveFoulsCommitted,offensiveFoulsDrawn,doubleDoubles,tripleDoubles
basketball,2022,6,216,Courtney,Williams,Courtney Williams,12,415,82,189,0.434,13,28,0.464,69,161,0.429,9,11,0.818,16,57,73,80,26,4,36,186,4411,0.46825396825396826,17,6,4,2,1,1,4,0
basketball,2022,6,224,Kiki,Harrigan,Kiki Harrigan,15,246,24,60,0.4,13,35,0.371,11,25,0.44,7,9,0.778,8,33,41,4,9,10,11,68,2627,0.5083333333333333,14,4,0,2,0,0,0,0
basketball,2022,6,225,Rebecca,Harris,Rebecca Harris,14,282,45,104,0.433,18,44,0.409,27,60,0.45,17,21,0.81,12,24,36,16,7,3,16,125,2972,0.5192307692307693,8,10,5,9,0,0,0,0
basketball,2022,6,226,Isabelle,Harrison,Isabelle Harrison,15,484,113,216,0.523,3,9,0.333,110,207,0.531,46,61,0.754,29,81,110,45,31,11,34,275,5373,0.5300925925925926,16,32,17,13,6,1,4,0
basketball,2022,6,227,Imani,McGee-Stafford,Imani McGee-Stafford,12,253,34,69,0.493,0,1,0.0,34,68,0.5,13,17,0.765,23,65,88,19,6,16,17,81,3079,0.4927536231884058,23,7,8,3,6,0,1,0
basketball,2022,6,229,Akela,Maize,Akela Maize,12,93,15,20,0.75,0,0,,15,20,0.75,6,11,0.545,6,13,19,5,2,2,6,36,2491,0.75,11,6,6,2,5,0,0,0
basketball,2022,6,231,Mercedes,Russell,Mercedes Russell,8,257,42,88,0.477,0,0,,42,88,0.477,25,35,0.714,21,44,65,21,9,3,15,109,2935,0.4772727272727273,5,15,8,15,4,1,3,0
basketball,2022,6,232,Destinee,Walker,Destinee Walker,15,384,52,126,0.413,26,64,0.406,26,62,0.419,32,36,0.889,13,34,47,19,15,1,19,162,4032,0.5158730158730159,6,16,6,11,0,0,1,0
basketball,2022,6,233,Nikki,Greene,Nikki Greene,15,362,49,91,0.538,0,0,,49,91,0.538,24,33,0.727,24,59,83,10,27,15,9,122,3813,0.5384615384615384,16,17,13,7,1,0,2,0
basketball,2022,6,234,Lauren,Manis,Lauren Manis,14,334,50,127,0.394,8,35,0.229,42,92,0.457,34,41,0.829,18,57,75,25,16,6,28,142,3151,0.4251968503937008,16,24,12,11,3,6,2,0
basketball,2022,6,235,Briahanna,Jackson,Briahanna Jackson,12,166,17,55,0.309,2,18,0.111,15,37,0.405,4,5,0.8,5,12,17,21,8,2,23,40,2548,0.32727272727272727,7,3,7,2,0,5,0,0
basketball,2022,6,236,Takoia,Larry,Takoia Larry,6,30,4,16,0.25,2,7,0.286,2,9,0.222,2,3,0.667,2,1,3,1,3,0,2,12,1969,0.3125,3,2,0,0,0,0,0,0
basketball,2022,6,237,Becca,Wann-Taylor,Becca Wann-Taylor,8,33,6,10,0.6,2,3,0.667,4,7,0.571,0,1,0.0,0,4,4,1,0,0,3,14,2134,0.7,5,1,4,1,0,1,0,0
basketball,2022,6,238,Taj,Cole,Taj Cole,15,509,97,238,0.408,25,88,0.284,72,150,0.48,35,41,0.854,7,45,52,91,26,4,58,254,4415,0.46008403361344535,24,16,15,25,5,3,0,0
basketball,2022,6,239,Toccara,Ross,Toccara Ross,11,76,8,18,0.444,0,0,,8,18,0.444,4,4,1.0,4,3,7,0,3,0,7,20,2729,0.4444444444444444,13,1,3,1,1,0,0,0
basketball,2022,6,240,Lexie,Brown,Lexie Brown,15,536,76,144,0.528,30,64,0.469,46,80,0.575,28,32,0.875,6,57,63,70,38,0,24,210,5317,0.6319444444444444,1,15,7,14,0,3,0,0
basketball,2022,6,241,MeMe,Jackson,MeMe Jackson,14,405,45,118,0.381,37,93,0.398,8,25,0.32,8,8,1.0,1,25,26,26,16,1,21,135,2687,0.538135593220339,13,3,11,5,1,1,0,0
basketball,2022,6,242,Danielle L.,McCray,Danielle L. McCray,6,103,16,37,0.432,0,1,0.0,16,36,0.444,3,5,0.6,7,13,20,8,5,0,2,35,1597,0.43243243243243246,5,3,6,2,0,0,0,0
basketball,2022,6,243,Drew,Edelman,Drew Edelman,14,299,46,89,0.517,0,0,,46,89,0.517,9,16,0.562,29,45,74,5,6,5,12,101,2821,0.5168539325842697,13,10,9,7,7,2,1,0
basketball,2022,6,244,Kalani,Brown,Kalani Brown,15,402,100,140,0.714,2,3,0.667,98,137,0.715,42,48,0.875,33,74,107,23,13,17,25,244,5192,0.7214285714285714,26,25,6,13,5,0,4,0
basketball,2022,6,245,Antoinette,Bannister,Antoinette Bannister,12,120,9,26,0.346,2,12,0.167,7,14,0.5,2,2,1.0,2,7,9,13,3,0,8,22,1957,0.38461538461538464,8,1,3,0,0,7,0,0
basketball,2022,6,246,Antoinette,Thompson,Antoinette Thompson,9,46,4,14,0.286,0,2,0.0,4,12,0.333,0,0,,2,3,5,4,0,0,6,8,1751,0.2857142857142857,1,0,4,1,1,1,0,0
basketball,2022,6,247,Tina,Roy,Tina Roy,10,43,2,14,0.143,2,12,0.167,0,2,0.0,2,2,1.0,0,3,3,1,1,1,2,8,1877,0.21428571428571427,0,0,1,0,0,0,0,0
basketball,2022,6,248,Marjorie,Butler,Marjorie Butler,14,94,7,29,0.241,5,11,0.455,2,18,0.111,0,2,0.0,3,6,9,5,5,1,9,19,2526,0.3275862068965517,6,1,8,1,0,0,0,0
basketball,2022,6,249,CC,Andrews,CC Andrews,8,44,2,8,0.25,0,2,0.0,2,6,0.333,6,6,1.0,1,3,4,1,2,0,1,10,1905,0.25,0,2,2,3,0,2,0,0
basketball,2022,6,250,Danni,McCray,Danni McCray,10,168,28,50,0.56,0,2,0.0,28,48,0.583,4,5,0.8,26,21,47,5,3,5,6,60,3147,0.56,5,3,3,4,0,1,1,0
basketball,2022,6,251,Air,Hearn,Air Hearn,14,238,37,76,0.487,15,40,0.375,22,36,0.611,7,7,1.0,4,28,32,27,16,1,9,96,3610,0.5855263157894737,10,4,9,4,0,0,0,0
basketball,2022,6,252,Dominique,Wilson,Dominique Wilson,15,256,34,71,0.479,18,38,0.474,16,33,0.485,26,29,0.897,4,20,24,20,8,0,17,112,3138,0.6056338028169014,12,13,6,4,2,2,0,0
basketball,2022,6,253,Brittany,Carter,Brittany Carter,10,65,6,12,0.5,4,9,0.444,2,3,0.667,2,2,1.0,3,5,8,4,1,2,6,18,2249,0.6666666666666666,3,1,2,0,0,0,0,0
basketball,2022,6,254,DiJonai,Carrington,DiJonai Carrington,14,504,118,283,0.417,27,86,0.314,91,197,0.462,64,82,0.78,35,75,110,41,39,1,58,327,4536,0.46466431095406363,12,41,18,20,3,2,4,0
basketball,2022,6,255,Chelsea,Phillips,Chelsea Phillips,4,9,2,4,0.5,1,2,0.5,1,2,0.5,0,0,,0,4,4,0,0,0,0,5,2242,0.625,1,0,0,0,0,0,0,0
basketball,2022,6,256,Grace,Hunter,Grace Hunter,12,67,7,21,0.333,1,9,0.111,6,12,0.5,2,5,0.4,8,8,16,2,0,0,3,17,2040,0.35714285714285715,4,2,0,1,0,0,0,0
basketball,2022,6,257,Kelsey,Mitchell,Kelsey Mitchell,10,332,75,156,0.481,25,60,0.417,50,96,0.521,25,26,0.962,8,23,31,34,8,2,33,200,3893,0.5608974358974359,8,10,7,15,0,5,0,0
basketball,2022,6,258,Shannon,McCallum,Shannon McCallum,7,27,1,6,0.167,0,4,0.0,1,2,0.5,1,2,0.5,1,3,4,0,2,0,1,3,2081,0.16666666666666666,2,0,2,0,0,1,0,0
